activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,QFROUN1UWUYU0DVIWD51,16984,IL,17031,17031817900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,155000.0,80,7.125,0.369,2,6342.50,NA,2059.00,764.00,175.00,360,NA,NA,2,2,2,2,195000,1,1,3,5,1,NA,104,42,2,3,1,11,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,55-64,No,Yes,1,1,2,,,,,10,,,,5532,91.9,109800,90,1465,1567,64
2024,549300U3721PJGQZYY68,16984,IL,17031,17031804314,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Joint,1,71,2,1,31,1,2,2,2,95000.0,25,6.925,0.121,2,2581,NA,1640,,,360,NA,NA,2,2,2,2,365000,1,1,3,5,1,NA,58,37,3,9,2,,,,,2,,,,,2,2,6,,,,,6,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,2,,,,,10,,,,1682,37.81,109800,140,433,562,31
2024,5493008VVXQIDO1EZ460,16984,IL,17031,17031030400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,3,2,1,1,1,2,2,2,305000.0,35.71400,5.990,-0.059,2,9574.50,NA,4847.00,3153.00,,360,NA,NA,2,2,2,2,845000,1,1,3,5,1,NA,194,30%-<36%,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,1,,,,,10,,,,2597,47.4,109800,81,452,587,0
2024,549300VJ7C5JB4W87F48,16984,IL,17031,17031804611,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,1,9,2,1,1,2,2,2,2,15000.0,82.14100,0.000,NA,2,0.00,NA,0.00,,,120,NA,NA,2,2,2,2,465000,1,1,3,5,1,NA,119,40,1,10,1,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,1,,,,,10,,,,4653,30.37,109800,113,1417,1759,42
2024,254900TTZ395IC926125,16984,IL,17031,17031802802,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,3,2,1,31,1,2,2,2,225000.0,80.00000,6.125,-0.230,2,3687.45,NA,2735.25,,3793.50,360,NA,NA,2,2,2,2,285000,1,1,3,5,1,NA,55,47,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,2,,,,,10,,,,6991,22.76,109800,135,1977,2281,64
2024,B4TYDEB6GKMZO031MB27,16984,IL,17031,17031730700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,0,2,1,1,1,2,2,2,215000.0,100,5.875,-0.985,2,375.00,NA,0.00,,84.00,360,NA,NA,2,2,2,2,215000,1,1,3,5,1,NA,67,30%-<36%,9,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,2,1,7,,,,,10,,,,2281,99.61,109800,59,591,857,69
2024,549300LBCBNR1OT00651,16984,IL,17031,17031824800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Male,1,1,2,1,32,1,2,2,2,135000.0,62,7.625,1.124,2,5966.04,NA,4053.10,2558.10,,360,NA,NA,2,2,2,2,225000,1,1,3,5,1,NA,56,39,2,10,1,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,2,,,,,10,,,,7178,85,109800,66,1661,2472,48
2024,254900RUCO27MVGTO768,16984,IL,17031,17031710300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,72,2,1,1,1,2,2,1,285000.0,64.02,12,NA,3,NA,NA,NA,NA,NA,12,NA,NA,2,1,1,2,455000,1,3,3,5,4,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,2,1,6,,,,,10,,,,1424,99.86,109800,46,165,430,72
2024,549300YAYQAARPBTRA72,16984,IL,17031,17031812100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,8,2,1,1,1,2,2,2,275000.0,52.083,7.125,0.095,2,5301,NA,1440,,,360,NA,NA,2,2,2,2,525000,1,1,3,5,1,NA,145,20%-<30%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,1,2,,,,,10,,,,4763,46.71,109800,137,1229,1469,0
2024,549300KIOYNU323LVJ37,16984,IL,17031,17031834200,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,2,2,2,1,1,2,2,2,315000.0,95.0,7.125,1.005,2,11445.37,NA,1705.00,,106.50,360,NA,NA,2,2,2,2,325000,1,1,3,5,2,NA,72,50%-60%,2,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,1,,,,,10,,,,4693,99,109800,70,818,1890,78
2024,549300U3721PJGQZYY68,16984,IL,17031,17031120200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,585000.0,80,6.625,0.39,2,7527,NA,2816,1176,,360,NA,NA,2,2,2,2,735000,1,1,3,5,1,NA,158,47,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,25-34,25-34,No,No,1,1,1,,,,,10,,,,4748,27.63,109800,163,1554,1714,65
2024,549300U3721PJGQZYY68,16984,IL,17031,17031823602,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,2,1,1,1,2,2,1,125000.0,70,7.125,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,175000,1,3,3,5,1,NA,106,20%-<30%,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,Yes,NA,1,1,1,,,,,10,,,,6209,19.5,109800,80,2233,1591,41
2024,549300EMGY2NJUW3A749,16984,IL,17031,17031720500,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,72,2,2,31,1,2,2,2,255000.0,76.119,7.000,0.736,2,6930.50,NA,1740.00,,96.30,360,NA,NA,2,2,2,2,335000,1,1,3,5,1,NA,122,20%-<30%,7,7,2,,,,,2,,,,,3,3,5,,,,,5,,,,,3,3,2,1,3,3,35-44,35-44,No,No,1,2,2,,,,,10,,,,2086,12.27,109800,172,650,786,69
2024,RVDPPPGHCGZ40J4VQ731,16984,IL,17031,17031550100,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,2,2,2,1,1,2,2,2,195000.0,96.5,6.125,0.046,2,14835.51,NA,5454.38,,2272.99,360,NA,NA,2,2,2,2,205000,1,1,3,5,1,NA,40,50%-60%,3,10,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,1,3,,,,,10,,,,7019,69.65,109800,73,1827,2816,68
2024,XC7Z0BA39TU7L1AKOJ12,16984,IL,17031,17031803100,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,2,2,2,1,2,155000.0,65,7.5,-0.63,2,NA,NA,NA,NA,NA,120,36,1,2,1,1,2,405000,1,1,3,5,1,NA,88,45,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,1,1,6,,,,,10,,,,3616,15.74,109800,165,1071,1075,62
