lei,name,count,period
01ERPZV3DOLNXY2MLB90,"Libertyville Bank & Trust Company, N.A.",55,2024
01KWVG908KE7RKPTNP46,HomeStreet Bank,1,2024
03D0JEWFDFUS0SEEKG89,"TD Bank, National Association",1,2024
1DU7IM20QESYGDO4HO54,The Northwestern Mutual Life Insurance Company,2,2024
1IE8VN30JCEQV1H4R804,"HSBC BANK USA, NATIONAL ASSOCIATION",57,2024
1TMVIO1SD0RLIPEIW803,Great Southern Bank,12,2024
20TVKH7M13MUBGE80C53,Independent Bank,5,2024
2138004QPZ7FMGPTU106,CorTrust Bank National Association,1,2024
21380054U5NKZKBQ4128,Central Federal Savings and Loan Association,38,2024
2138007DQF1WY8NDYM18,NORTHWEST BANK OF ROCKFORD,255,2024
2138009TTY1M4OJRXV14,BANKORION,185,2024
213800GF3VF8WSF5Q651,FOREST PARK NATIONAL BANK AND TRUST COMPANY,62,2024
213800K8DDKEL9X4OK57,FIRST SOUTHERN BANK.,209,2024
213800M6RMI3YBX62W88,"CORTRUST MORTGAGE, INC.",2,2024
213800QUAI2VH5YM6310,"EMBRACE HOME LOANS, INC.",20,2024
213800XR2TCBQJSF1X93,NBKC BANK,380,2024
25490001F0A9F7BV6B05,Albany Bank and Trust Company National Association,9,2024
2549000C5KZ15Q2U9V68,BANK,5,2024
254900114YHTRFBALC74,"Genesis Capital, LLC",11,2024
25490018IFQOT83Q7H49,"GO MORTGAGE, LLC",24,2024
2549001E11O22GGBEL86,Prairie State Bank and Trust,307,2024
2549001SI0EMFPT39035,"Cornerstone First Mortgage, Inc",125,2024
2549002VH9C0PKB8K153,Logan Finance Corporation,57,2024
2549002W5VVAQ5IH5726,Goodfield State Bank,247,2024
254900378RFGMBEKAF12,Empeople Credit Union,475,2024
25490039MDCTJ7ZJ8204,Century Credit Union,4,2024
2549003K48UGTWEK6O31,SECURED INVESTMENT CORP.,131,2024
2549003SD8SH7JXN6S72,"First Bankers Trust Company, National Association",177,2024
2549003SYL72OG7Y6S21,Superior National Bank,3,2024
25490049BUGXLHXJZD76,The Credit Union For All,15,2024
2549004CU9LAM5CYA280,KWIK MORTGAGE CORPORATION,2,2024
2549004FXPNKCLIN8250,"Synergy One Lending, Inc.",170,2024
2549004O2ZT0HSAP5S70,First Independence Bank,3,2024
2549004XJQQPBYQSMT39,Quontic Bank,37,2024
2549004Z576VEJBK3N72,"NQM FUNDING, LLC",75,2024
2549005HG8EMM4748S60,Germantown Trust & Savings Bank,59,2024
2549005K0ZG1MFV3R260,Reliable Holdings Manager dba Lendz Financial,2,2024
2549005LG69OCBT9WE71,The Riddell National Bank,1,2024
2549005Q4HZ55QX7YC64,"Watermark Capital, Inc.",1,2024
2549005SIVTHG14U2905,A&D Mortgage LLC,196,2024
25490066WMF8ZMQXQB18,"Lendage, LLC",642,2024
